user_name,review_description,rating,review_date
Justin Blocksom,Love the full control of this service and app. Automatic backup and had it for two or three phones now so phone migration and keeping my pictures is not an issue. At $1.99 per month I like the control a small paid service gives me.,5,5/17/2024 17:12
Patricia Christian,I really like the ease of finding pics,5,5/17/2024 17:01
Liz Smith,Love this...if something goes wrong with my phone I still have my photos,5,5/17/2024 15:42
Melissa Curtis,Love having pics quickly,5,5/17/2024 15:20
Louis Troutman,Excellent,5,5/17/2024 15:15
Bob Ashworth,Excellent search capabilities.,5,5/17/2024 15:08
Rinaldo Wouterson,"Doesn't let you import from Google Photos, worthless if you want to switch around...",1,5/17/2024 13:48
Ham Saffar,Free and unlimited Hi Res cloud storage for your all your pictures... What more can I ask for. One of the many useful benefits of the prime membership.,5,5/17/2024 13:44
Amanda Gamble,Easy to use and store photos,5,5/17/2024 13:30
Maria Farneschi,Nice to look back in time.,5,5/17/2024 11:36
Harry Miller,Good but I'm still learning how to use it,4,5/17/2024 11:25
Tony Penson,I'm able to save my photos for a long long time !!! Thanks,5,5/17/2024 11:14
Danny,So far so good Happy,5,5/17/2024 10:27
Mandy Creighton,Great just love this app,5,5/17/2024 10:14
francis foley,Easy to use,5,5/17/2024 9:24
Gene Kost,Clarity and timestamps great,5,5/17/2024 9:15
Jay Bee,"Corruption at Nevada VA hospitals! I believe that justin is using Burp Suit, Frida, ADB Shell, Javascript, google Firebase, and/or AndroGoat for stalking, harassment, identity theft, and cyber crimes. I viewed some information about SSL/TLS Bypass and I am experincing the same problems. VR&E is supposed to help disabled veterans get training to obtain suitable employment. They aren't supposed to allow racist corrupt employees to abuse them by doing identity fraud or illegal cyber Maybe internati",1,5/17/2024 7:49
Sabrina Samson,I don't need 10 or so seconds of "photo deleted" at the bottom of the screen. I'm trying to delete a bunch of photos individually as I need to look at them first. It's going to take forever with that message at the bottom that's hard to get rid of.,3,5/17/2024 7:34
Kyra Jones,Excellent and very useful,5,5/17/2024 7:01
Jay Ainsworth,"The only way to store, view, retrieve, organize or print pictures with ease.",5,5/17/2024 5:59
Jamie Nelson,Tho smgood app to store pictures,5,5/17/2024 5:29
Catherine Burrell,Easy to use and love the storage.,4,5/17/2024 5:26
Elaine Lawes,"I just love taking photos, and you are looking after them ??ç",5,5/17/2024 4:10
sarah harkness,I love Amazon Prime this is a nice free feature it uploads all of my pictures fast and is easy to retrieve them delete them etc. I use this app daily...great job Amazon I love it!,5,5/17/2024 3:54
Mike Fackrell,Easy to use,5,5/17/2024 3:40
Nathan Alan,"Uploading photos to the cloud is automatic and typically fast. Sometimes I am in the dark about when my input is needed, when my help is needed, and if so how much for how long? I want to help, just what specifically do you need my help with?",4,5/17/2024 3:27
Kara Shaw,"Love this app, love that is free with Prime",5,5/17/2024 3:23
Sandi Dyer,this is cheaper and works great,5,5/17/2024 3:13
inerit,Fast updates,4,5/17/2024 2:18
Kelly Smith,Great fast and fun,5,5/17/2024 2:07
Tiira Vall,Photo storage is great!! Wish I had more video storage,4,5/17/2024 1:56
Kim Secker,Easy too use,5,5/17/2024 0:08
Denise James,This is a convenience for me. Thank you,5,5/17/2024 0:07
A Google user,The backup to my pics is wonderful. No more worries.,5,5/16/2024 23:56
Jennifer Watson,Easy to use,5,5/16/2024 23:33
Ouida Norris,I love the reminder of photos done that day in the past. Pretty easy to use love the lay out,5,5/16/2024 23:28
Maarten Schoonheim,Super deal for backup of pics,5,5/16/2024 23:15
Pamela Morton,Been using this awhile and love the app,5,5/16/2024 22:56
Jody,A great way to store my pictures.,5,5/16/2024 22:54
Nancy Ohmann,I want to cancel this service!,1,5/16/2024 22:46
Will Calhoun,Good stuff!,5,5/16/2024 22:09
Steve R,Constantly turning on auto-save for folders I have specified not to. Ridiculous to have a recurring issue with something so basic.,3,5/16/2024 21:49
Jorge Ortiz,Excellent,5,5/16/2024 21:37
Cathy Minor,Easy and works great,5,5/16/2024 21:28
Don Foley,Great!,5,5/16/2024 21:25
barbara bedell,Fun looking at memories,5,5/16/2024 21:14
Andrew Kaczmarek,Great App,5,5/16/2024 20:58
Barbie Hernandez,Easy to use so far! Love that is unlimited storage!!!!,5,5/16/2024 20:56
Henry Hernandez,I'm having problems with adding my pictures to screen saver on my fire stick.,5,5/16/2024 20:48
Shelley Buck,Good,5,5/16/2024 20:38
Tina Naomi Taytanya Smith,"Great for pictures, sharing moments",5,5/16/2024 20:30
Tina Elliott,Easy and free to use,5,5/16/2024 20:09
Jodi Soltis,‚ù§Ô∏è‚ù§Ô∏è‚ù§Ô∏è‚ù§Ô∏è The unlimited storage!,4,5/16/2024 19:25
Brian Hall,Great place to store photos,5,5/16/2024 19:04
Stephanie Votrain,Absolutely easy to use and I know my photos are backed up,5,5/16/2024 18:17
Kayla Harper,You can choose which albums automatically upload!,5,5/16/2024 17:46
Dan K.,Great!,4,5/16/2024 17:36
Virginia Sunshine,ty. Very nice ???,5,5/16/2024 17:00
todd ollendorff,ROTTEN -- Rip-off. Prints are worse than any I have ever seen. They do not offer refunds even if it is their fault - only store credit so that you can get their ******.,1,5/16/2024 16:43
Ren√©e Grenier,Very categorized and helpful,4,5/16/2024 16:10
Zack Stanley,Works great!,5,5/16/2024 16:08
Ric Jenkins,Not used app yet. Advert brags a out "unlimited storage" etc. In setting up the app it has already come up with "memory full". How disappointing after all the hype!,1,5/16/2024 12:02
Diana Garcia,Great,5,5/16/2024 10:27
SIAV ibiza,"Love it, and highly recommand it",5,5/16/2024 8:18
Festival Tim,Lots of photo storage!,5,5/16/2024 6:13
Jack Malone,Love using this app to keep my memories safe,5,5/16/2024 5:56
Stephen Fox,It like it's designed for dumb people. Lol,4,5/16/2024 5:36
David Blais,Ok with the speed of uploading to my phone.,5,5/16/2024 4:39
Aimee,Awesome app,5,5/16/2024 4:29
Anh Virden,Love it and so convenient. Thank you Amazon ???,5,5/16/2024 4:19
Donna Jones,Awesome,5,5/16/2024 3:59
Belinda Marasco,I love that it stores all of my pictures,5,5/16/2024 3:12
William Lumm,Excellent,5,5/16/2024 2:31
Bruce Doghan,Intuitively designed,4,5/16/2024 2:29
Margaret Mayton,Fun fun fun ! ‚ù§Ô∏è it,5,5/16/2024 2:18
Madison Full,easy to use,5,5/16/2024 1:34
Kathleen Litke,Like the app,5,5/16/2024 1:00
Quentine Holley,Able to download alot of memories. Great app!!,5,5/16/2024 0:28
Rebecca Brown,I wish it wouldn't pop up at inconvenient times,4,5/16/2024 0:21
Gisela Jara,Love it! Easy and practical!,5,5/16/2024 0:02
Tammy Fuller,"I just would like to be able to choose what gets uploaded, and be able to delete photos without a 90 day option.",4,5/15/2024 23:49
Joseph N,"Easy app to use. I can honestly say this is the safest app to keep all your Photos in . In the past My phone has been stolen, my google account highjacked, but not my Amazon Photos ! Very happy that I have been using this app now for almost 8 years.",5,5/15/2024 23:42
Steve O'Connell,Easy to use and organise,5,5/15/2024 23:35
Danny,"Amazon Photos' primary benefit is its free unlimited photo storage for Prime members. The application/interface as a whole is OK, but there are some areas for improvement. -1 star for not automatically sorting images into the album names they were uploaded from. -1 star for taking away the feature that allowed users to delete photos from the cloud and local storage simultaneously. Please, please bring it back.",3,5/15/2024 23:26
Ronald V Odoski,Love Everything Amazon Does.,5,5/15/2024 23:25
Charlie Goes,So far so good,5,5/15/2024 23:12
lydia kodjo,I's very good to keep your pictures and to shop,5,5/15/2024 22:17
Sharon Hanes,"Love having a place to store my photos rather, than in an old shoe box under my bed!",5,5/15/2024 22:12
Joshua Rothman,Amazing love ‚ù§Ô∏è it,5,5/15/2024 21:39
Billy Porter,Good but says I've got 2.8 of 5gb free for video but stating its full ?,4,5/15/2024 21:38
Leslie Dingess,Works great,5,5/15/2024 21:34
Michelle R,Please add Object Eraser... then 5 stars!,4,5/15/2024 21:27
M C Hudson,Great ??ç,5,5/15/2024 21:16
John Ward,I like it. Seems to work alright.,5,5/15/2024 20:52
Heidi Netteler,I love being able to delete my photos from my phone to free up space and still be able to find everything I snapped on Amazon Photos,5,5/15/2024 20:38
Cheryl Knight,I would not change a thing from what I have used. I think it's great,5,5/15/2024 20:22
Jackie M.,I love how this app shows me pics from that day years back. What a great keep sake it is.,5,5/15/2024 19:53
debbie sempter,Great app,5,5/15/2024 18:41
Natalie Sedlacek,Good service,5,5/15/2024 18:04
Simon,Does a good job,5,5/15/2024 17:30
Mick Dumelow,Easy to use,5,5/15/2024 17:05
Julie Engle,Excellent quality,5,5/15/2024 16:27
Pam Jentges,Easy-to-use,5,5/15/2024 16:03
Roy Aldworth,Love it,5,5/15/2024 15:46
David O,Need help clearings memory for photos,3,5/15/2024 14:55
Nicole Wanamaker,So easy to set and forget,5,5/15/2024 14:51
Graham Davis,Good,5,5/15/2024 14:29
david jellison,Easy to use,5,5/15/2024 13:44
Peter Ladaniwskyj,Excellent ??ç,5,5/15/2024 11:05
Sheila Birchfield,Easy to use,5,5/15/2024 8:30
Jeanie Knipper,Not really used yet,4,5/15/2024 7:43
SilverFox 55,The best most easiest backup I have ever experienced! Thanks Amazon for making my memories matter!,5,5/15/2024 7:12
Missy Cadarette,Very good,5,5/15/2024 6:59
N.M.Q. Herron-Ackerson,Very easy to use!!!,5,5/15/2024 5:58
Joan Perkins,Love it!,5,5/15/2024 5:26
Ruth David,Super easy to upload photos!,5,5/15/2024 4:46
jamie hiott,Love how the pics are organized by day!,5,5/15/2024 4:42
Brooke,not user friendly. some of my photos won't show up after being uploaded even if I upload manually.,1,5/15/2024 4:37
G. Clayton H.,Easy to use...,5,5/15/2024 4:36
Samantha Wheeler,Absolutely love the unlimited photo storage but I wish the video storage was more and 5g,4,5/15/2024 3:59
christina Cansler,Super easy and convenient! Thanks to Amazon photos I will not have to purchase extra space on my phone which saves me money!! ??? ??? ??? ??? ???!!,5,5/15/2024 3:57
Sue Harris,I just like it!!,5,5/15/2024 3:41
Lovely ‚??Heathen‚?ù Heathen,Easy to use an set up folders like any other photo app can choose favorites,4,5/15/2024 3:16
Kepa Totorica,"Worse than Google photos. But with free photos for prime members, it is pretty sweet",5,5/15/2024 2:26
Rob Fleming,Love the ease of use and would highly recommend.,5,5/15/2024 1:52
Natalie Carroll,"Update: I finally learned this app just needs 2b opened 1x daily for continuous unlimited photo uploads but video storage cost extra ?§? over 5gig allowed for Prime Members. My Android, Moto 5G ??± works great actually since this was merely pilot error ?´£?§£????§£??ç, ty -Natalie an Amazon Prime Member.",5,5/15/2024 1:44
cheryl carroll,I use this all the time to have pictures for a school,5,5/15/2024 1:36
susan escobedo,I've used this app since my daughter shared it with me yrs ago. Absolutely a best idea,5,5/15/2024 1:11
Paula Wright,Like the organization and the memory pop-ups.,5,5/15/2024 0:51
Erica Coles,Love the daily memories that pop up.,5,5/15/2024 0:24
Robert Banach,"Fair app... Needs better way to put in folders and then better way to search... But, as a backup to your photo backup, this one works ok...",3,5/15/2024 0:10
Fiona May,Love getting the reminders,5,5/14/2024 23:52
Valerie Ekholm,Love it!,5,5/14/2024 23:50
Aden Wertz,it's great for backing up photos,4,5/14/2024 23:19
IshPal the Retro Gamer,"This Amazon Photos app is a good app to my photos, and I made my own albums. Such as the nostalgia album, the vacation album, and other albums. Thank you Amazon!",5,5/14/2024 23:18
Julie Butler,So far so good,4,5/14/2024 22:28
Harry Houghtaling,Good app for quick modifications of photos.,4,5/14/2024 22:20
Leslie Perry,Great app.,5,5/14/2024 22:20
Brenda Smith,"So convenient, and I love the Daily Memories.",5,5/14/2024 22:15
Kim Walker,Yes I like,5,5/14/2024 22:08
Kang Chen,"Great for simple unlimited storage if you have Amazon prime. No idea how it is for non prime users though. Also, might want to read the user agreement carefully if you really care about privacy and stuff. Companies are trying different ways to train ai models you know...",5,5/14/2024 22:06
Ken Castle,So far ot has been great.,5,5/14/2024 21:58
Doris Robinson,Says unlimited but when I go to get storage says it's full?!?!,1,5/14/2024 21:50
Vivian Clark,I like the way the photos are grouped.,5,5/14/2024 21:38
Dee Tree,I like my photos in one spot. It groups your photos in separate folders The only thing that I don't understand is it will put a grey stripe over your older pictures so sometimes you aren't keeping old pictures. I had rated it at 5 but since I can't get old pictures I am bringing it down til 3,3,5/14/2024 21:35
K M,Never will lose my photos!,5,5/14/2024 21:32
Michael Onzuka,Easy to use.,5,5/14/2024 21:32
Robert Kamenzind,Second 2 none...!,5,5/14/2024 20:31
Bettie Saunders,Great!!,5,5/14/2024 20:17
Shari Yager-Lisk,Easy to use great quality,5,5/14/2024 20:15
Stephanie Whitfield,"Love... Love... Love!!! Update: I'm taking away one star because I was notified that my videos are no longer being uploaded to my cloud due to a lack of video storage, yet I had a 1-2T storage that I'm now being told has expired. Really? How ?§? and why. Yet, there is no additional information on how to secure more video storage space!!",4,5/14/2024 19:48
Lena Gibson,I really like this app,5,5/14/2024 19:41
lori vought,I don't have to worry about my pictures,5,5/14/2024 19:10
Robert McCooeye,Great for backing up photos.,5,5/14/2024 18:49
Paul Shadlock,It work for me well impressed Like it a lot,5,5/14/2024 15:46
bishop agbonlahor,This app has helped me in the orderly arrangement of my pictures and videos and give me a yearly reminder bringing memory back,4,5/14/2024 13:08
Ben Sturgeon,One of the best to ever have,5,5/14/2024 11:38
Amy Cox,So far it's working out great... Possibly better than Google... Definitely Still satisfied ???,5,5/14/2024 10:56
Victoria Howell,Simple and easy to use,5,5/14/2024 10:48
Shannon Duffy,Wonderful photo app!,5,5/14/2024 9:01
Dominique Uriza,It's really helpful and has a real goood deal for the storage,5,5/14/2024 8:55
Todd Ebert,Nice app,5,5/14/2024 8:29
Hilda Blanco,Good,5,5/14/2024 8:29
Katherine Braun,Great!,4,5/14/2024 8:17
Aina ‚??Monkee‚?ù,Not bad.. it's an extra back up for photo's,4,5/14/2024 7:58
Charlotte Mwagbe,"Love this app. Everyone loves my tv slide show, including me! My sister wants it on her TV so she's next!",5,5/14/2024 7:48
Joseph Smith,Fun look back over the years of old photos.. update it's great to get some random pics from the past to look at,5,5/14/2024 7:44
Nicole Kotowski,It's a good app,5,5/14/2024 7:09
Jerry Benson,Ok,5,5/14/2024 6:49
Amber Holznagel,Love this app!!,5,5/14/2024 6:00
Charyl Engelman,Can't find photos,1,5/14/2024 5:46
Chuck / Margaret Campbell,Like it.,5,5/14/2024 5:31
Apu Oghenekevwe Anointed,Why is it difficult to upload photos now,5,5/14/2024 5:18
Keith Ikwoanimo,Easy and simple to navigate and use.,5,5/14/2024 4:53
Sergio Ortega,Awesome,5,5/14/2024 4:08
Derek Overton,Great app,5,5/14/2024 4:08
Gary Thompson,works great for me. nice to have on one secure site.,5,5/14/2024 4:04
Ray Collins,"Great for storing pics and videos, terrible for search....would be great if you could search metadata",4,5/14/2024 3:23
Truth is Subjective 2 Interpretation,Decently good app,4,5/14/2024 2:33
C Das,"Good app, annoying notification. There is no way to tell the app to stop asking me to turn on automatic upload. I have to disable all notifications in os ?§¶‚?ç‚??Ô∏è?§¶‚?ç‚??Ô∏è?§¶‚?ç‚??Ô∏è?§¶‚?ç‚??Ô∏è?§¶‚?ç‚??Ô∏è?§¶‚?ç‚??Ô∏è",3,5/14/2024 2:12
Carol Webber,Great to order picts for projects but must plan ahead because of a movement disability. Takes time for home delivery.,5,5/14/2024 2:00
Pinocioprincess,Again very difficult for me as im not genius computer but learning well,1,5/14/2024 1:54
Suzanne Messmer,I love that this is a bonus prime member option. It works as good if not better then Google. Again Amazon comes out on top in my personal opinion.,5,5/14/2024 1:29
Annette Marshall,Nothing that l care to discuss,4,5/14/2024 1:05
D. Marshall,Good so far!,4,5/14/2024 0:16
Maureen Baumber,Great,5,5/13/2024 23:59
jane murray,I really like it because it's easy to use,5,5/13/2024 23:55
Clydene Maynard,Very satisfactory,5,5/13/2024 23:54
Clive Bellman,"Generally, good",5,5/13/2024 23:47
Steve ‚??Akheron‚?ù,"Easy to use, quick in the file transfers. Easy access to your stored files.",5,5/13/2024 23:39
Willie Taylor,Love it,5,5/13/2024 23:31
Brian Speck,An added bonus to my Prime subscription.,5,5/13/2024 23:16
cameron nemitz,Great app love that my prime comes with this,5,5/13/2024 23:01
mark ohly,Awesome app,5,5/13/2024 22:56
Deborah Hotovy,I feel confident that my photos will not be lost due to a phone problem.,5,5/13/2024 22:53
GiGi **,I happy I can clear storage for free,4,5/13/2024 22:29
Amanda,I love this app,5,5/13/2024 22:04
Tony Cummisky,I enjoy the 'On this day' function.,4,5/13/2024 21:39
Mizuho,"I would've given this app a 5 stars, but due to a problem that hasn't been fixed it seems that's not possible. In the previous versions of this app gifs were playable, now it's not, which is truly disappointing. I might revert back to one of the older versions of this app.",1,5/13/2024 21:18
